id,crop
611,0
6417,0
3352,0
4224,0
3102,0
6793,0
5477,0
561,0
5839,0
476,0
2759,0
5882,0
811,0
2656,0
2858,0
3825,0
3955,0
3822,0
5422,0
393,0
538,0
2417,0
1421,0
2486,0
2654,5
496,0
2876,0
2398,5
2114,0
2804,0
1242,0
3761,0
101,0
6201,0
2860,0
5684,0
3014,0
5912,0
3017,0
2069,5
712,0
1536,0
534,0
3779,0
473,0
239,0
2941,0
3279,0
1188,0
1483,5
5364,0
1244,0
1616,0
683,0
6388,0
5950,0
4934,5
3813,0
2094,0
1488,0
5934,0
1297,0
1915,0
4870,0
2833,0
733,0
2249,0
233,0
3527,5
4334,5
2900,0
5239,0
6365,0
3651,0
1971,0
3221,0
5816,0
676,0
4643,0
3100,0
982,0
1817,0
4657,0
3878,0
2268,0
2578,0
469,0
6500,0
4756,5
3353,0
5697,0
5218,0
3824,0
6270,0
5157,5
6254,5
2436,5
3535,0
5594,5
6848,0
1480,0
2299,0
970,0
6557,0
4746,0
812,0
3103,0
2131,0
5141,0
4786,5
6127,0
5360,0
1103,0
2453,0
2642,0
756,0
6507,0
3431,0
3946,0
5154,0
4996,0
6599,5
3770,0
6084,0
4442,0
4724,0
2251,0
3256,0
5166,0
1886,0
2864,0
132,0
5704,0
4050,0
2473,0
2440,0
2405,0
2598,0
429,0
2794,0
1084,0
800,0
2347,5
3328,0
6570,0
1871,0
6865,0
4404,0
4510,0
468,0
4764,5
5773,0
2291,0
6099,0
642,0
6139,0
1433,0
503,0
2389,0
5904,5
3182,0
6730,0
2034,0
3482,0
4025,5
4667,0
543,0
6505,0
5740,5
6280,0
6415,0
3768,0
5936,0
381,0
6646,5
2589,5
4046,0
6378,0
447,0
3035,0
1158,0
6697,0
6869,0
4923,0
2029,0
3887,0
1608,0
50,0
169,0
2132,5
4852,0
217,0
2239,0
1055,0
6512,5
5640,0
5405,0
2260,0
1721,5
6589,0
1650,0
179,0
1047,0
4272,0
6078,0
586,0
2208,0
3805,0
